interval,Zmax,Zmin,q_value,SelectedNum
0.0,0.8474145743517851,0.04741457435178506,0.0,0.2
1.0,0.9934699689520563,0.29935175176625783,0.16739764335716717,0.6
2.0,0.6869094416119488,0.12423404137930119,0.16739764335716717,0.8
3.0,0.5518754013836946,0.3776244031012078,0.6470883692970208,2.0
4.0,0.8545431628726725,0.16552394140415366,0.4884210920415911,1.6
5.0,0.6025608459607205,0.29931388208355625,0.33479528671433434,1.2
6.0,0.6765055669258258,0.34104302031240125,0.33479528671433434,1.2
7.0,0.9927401995058658,0.1927401995058657,0.0,0.2
8.0,0.5499256002146262,0.14727657577608985,0.48071972980814764,1.6
9.0,0.5988175305650842,0.13710840153053322,0.31224972065659173,1.6
10.0,0.6120661840931432,0.3100785838189599,0.17047588887820558,1.2
11.0,0.5758360626271062,0.22583224950825082,0.6478770872071649,1.8
12.0,0.6807169090123616,0.23977975208621252,0.649448436402363,1.8
13.0,0.4414707552672533,0.3045605609817454,0.33479528671433434,1.4
14.0,0.6556328846146388,0.20298681888854367,0.8893692521928267,2.6
15.0,0.8802989508473882,0.20533661681961202,1.1201604281755055,3.6
16.0,0.710783508425746,0.34318571819725474,0.7198352409042046,2.4
17.0,0.69896300667137,0.5303068667480728,0.5482320023337645,2.2
18.0,0.749184394917168,0.15453711911804524,0.9343114338725858,3.0
19.0,0.6624210272479973,0.16246465403224836,0.5755238824399831,2.0
20.0,0.6017098319590393,0.19097245051910394,1.0635669536856134,3.4
21.0,0.7205485931517273,0.2048943551902728,0.8822062841190792,2.2
22.0,0.8258542944975951,0.3056526710328189,0.38221103003900686,1.8
23.0,0.6900297047570876,0.16042099049577957,0.6314224454701519,2.0
24.0,0.6583568682646381,0.22947864864227974,0.9091246773763064,3.0
25.0,0.5034573613489743,0.14237705717927707,0.540511836260566,2.3333333333333335
26.0,0.7423304338938825,0.07566376722721581,0.0,0.3333333333333333
27.0,0.8381448781669889,0.10962409389049986,1.0403083540941096,2.5
28.0,0.0379943084321347,0.0379943084321347,0.0,1.0
29.0,1.0,0.0,0.0,0.0
30.0,0.3339698711432001,0.2373536502686597,0.9162247448550936,4.0
31.0,0.2300584374121258,0.2300584374121258,0.0,1.0
